id,name,description,material_category_id,alternative_names,scientific_name,distribution,variation_name,custom_id,version,is_verified,source,ingredients,created_at,updated_at,created_by
3248,G-AlSi12 (230),"Material from Idemat 2025 dataset - ",63,G-AlSi12 (230),,,,da6f4f36-8b0a-49b0-8253-d397044e0aa4,1,false,Idemat 2025,,2025-07-29 14:50:44.652415,2025-07-29 14:50:44.65242,
3249,G-AlSi12Cu (231),"Material from Idemat 2025 dataset - ",63,G-AlSi12Cu (231),,,,c478195c-713f-46ca-9098-5427b234aa61,1,false,Idemat 2025,,2025-07-29 14:50:45.18975,2025-07-29 14:50:45.189759,
3250,G-AlSi7Mg (Thixo),"Material from Idemat 2025 dataset - ",63,G-AlSi7Mg (Thixo),,,,90d56347-2904-4363-900a-b3bc2154c620,1,false,Idemat 2025,,2025-07-29 14:50:45.692301,2025-07-29 14:50:45.692313,
3251,G-AlSi8Cu3 (380),"Material from Idemat 2025 dataset - ",63,G-AlSi8Cu3 (380),,,,6edd7714-e223-41dd-9d38-81941c898a89,1,false,Idemat 2025,,2025-07-29 14:50:46.241323,2025-07-29 14:50:46.24133,
3252,Copper wire rod,"Material from Idemat 2025 dataset - ",60,Copper wire rod,,,,ee5a3416-0b3d-4b8f-9ab4-3891e77a921f,1,false,Idemat 2025,,2025-07-29 14:50:46.735231,2025-07-29 14:50:46.735237,
3253,Copper tube,"Material from Idemat 2025 dataset - ",60,Copper tube,,,,f713168a-df07-4f93-a47c-678a79ccc1ea,1,false,Idemat 2025,,2025-07-29 14:50:47.250667,2025-07-29 14:50:47.250672,
3254,Copper flat rolled product,"Material from Idemat 2025 dataset - ",60,Copper flat rolled product,,,,0ccf7179-097b-4089-ad6d-5923dfa7bebf,1,false,Idemat 2025,,2025-07-29 14:50:47.922637,2025-07-29 14:50:47.922647,
3255,Cu-E,"Material from Idemat 2025 dataset - ",60,Cu-E,,,,f103c5b5-1def-441a-b13e-3b2507b2568f,1,false,Idemat 2025,,2025-07-29 14:50:48.513028,2025-07-29 14:50:48.51304,
3256,CuAg-E,"Material from Idemat 2025 dataset - ",60,CuAg-E,,,,94cc05dd-4ddb-49d0-8e7c-c651cd98bbbe,1,false,Idemat 2025,,2025-07-29 14:50:49.07727,2025-07-29 14:50:49.077365,
3257,CuAl5,"Material from Idemat 2025 dataset - ",60,CuAl5,,,,c0ab7f3c-88f6-4a14-a8ae-0423cb24eefa,1,false,Idemat 2025,,2025-07-29 14:50:49.742972,2025-07-29 14:50:49.742981,
3258,CuNi10Fe,"Material from Idemat 2025 dataset - ",60,CuNi10Fe,,,,c7fad1da-8b23-403e-9d56-cf438a96833e,1,false,Idemat 2025,,2025-07-29 14:50:50.366168,2025-07-29 14:50:50.36618,
3259,CuNi18Zn,"Material from Idemat 2025 dataset - ",60,CuNi18Zn,,,,0a3c5e96-306b-4d80-839a-a2abc7f15fd9,1,false,Idemat 2025,,2025-07-29 14:50:50.948227,2025-07-29 14:50:50.948239,
3260,CuNi44Mn,"Material from Idemat 2025 dataset - ",60,CuNi44Mn,,,,3ac5fab7-e770-4756-9eb6-b337ce5b8553,1,false,Idemat 2025,,2025-07-29 14:50:51.457944,2025-07-29 14:50:51.457956,
3261,CuSn6.7P,"Material from Idemat 2025 dataset - ",60,CuSn6.7P,,,,54f1824d-df6e-41aa-9667-6bb3479538eb,1,false,Idemat 2025,,2025-07-29 14:50:52.06732,2025-07-29 14:50:52.06733,
3262,CuSn8,"Material from Idemat 2025 dataset - ",60,CuSn8,,,,d0466ca3-77c4-4b9a-9d21-9d556302906a,1,false,Idemat 2025,,2025-07-29 14:50:52.740005,2025-07-29 14:50:52.740015,
3263,CuZn15,"Material from Idemat 2025 dataset - ",60,CuZn15,,,,d8f267ab-3378-4685-8c73-e929b78fff7c,1,false,Idemat 2025,,2025-07-29 14:50:53.316772,2025-07-29 14:50:53.316787,
3264,CuZn30,"Material from Idemat 2025 dataset - ",60,CuZn30,,,,92c743c6-e035-420f-9382-0fbe8c6855d0,1,false,Idemat 2025,,2025-07-29 14:50:53.839203,2025-07-29 14:50:53.83921,
3265,CuZn37 (Brass),"Material from Idemat 2025 dataset - ",68,CuZn37 (Brass),,,,df5327fa-cba0-43ee-953e-5b435fc1bfcd,1,false,Idemat 2025,,2025-07-29 14:50:54.359713,2025-07-29 14:50:54.359732,
3266,CuZn40 (Muntz metal),"Material from Idemat 2025 dataset - ",68,CuZn40 (Muntz metal),,,,e8aaad7b-0bc7-4372-9ac2-2f2ab7d94080,1,false,Idemat 2025,,2025-07-29 14:50:55.179657,2025-07-29 14:50:55.179671,
3267,"CuZn40Pb (Brass alloy, alpha-beta, machinable)","Material from Idemat 2025 dataset - ",68,"CuZn40Pb (Brass alloy, alpha-beta, machinable)",,,,443ec1fd-769c-4883-bc27-795eba15617b,1,false,Idemat 2025,,2025-07-29 14:50:55.681549,2025-07-29 14:50:55.681562,
3268,G-CuAl10Fe,"Material from Idemat 2025 dataset - ",60,G-CuAl10Fe,,,,260eb6de-31c8-45f0-b015-7cbb0d380bb1,1,false,Idemat 2025,,2025-07-29 14:50:56.253959,2025-07-29 14:50:56.253966,
3269,G-CuAl10Ni,"Material from Idemat 2025 dataset - ",60,G-CuAl10Ni,,,,03157590-e8b8-41cc-b736-36da379e55c0,1,false,Idemat 2025,,2025-07-29 14:50:56.711291,2025-07-29 14:50:56.711306,
3270,G-CuNi10,"Material from Idemat 2025 dataset - ",60,G-CuNi10,,,,576225bd-aadd-4e6e-aca7-b7db8b2d5c76,1,false,Idemat 2025,,2025-07-29 14:50:57.189176,2025-07-29 14:50:57.189184,
3271,G-CuSn10,"Material from Idemat 2025 dataset - ",60,G-CuSn10,,,,04c63e2e-8aeb-445e-8f4e-ef4e9433bb24,1,false,Idemat 2025,,2025-07-29 14:50:57.672252,2025-07-29 14:50:57.672258,
3272,G-CuSn12,"Material from Idemat 2025 dataset - ",60,G-CuSn12,,,,05f47150-a9d9-4429-908c-b45dfc33ab5b,1,false,Idemat 2025,,2025-07-29 14:50:58.701213,2025-07-29 14:50:58.701225,
3273,G-CuSn5Zn5Pb5,"Material from Idemat 2025 dataset - ",60,G-CuSn5Zn5Pb5,,,,303622db-f59f-4a93-bb79-133246be5067,1,false,Idemat 2025,,2025-07-29 14:50:59.244548,2025-07-29 14:50:59.244563,
3274,G-CuZn15,"Material from Idemat 2025 dataset - ",60,G-CuZn15,,,,db84d700-dbf2-4b06-9a7e-5e81ae79369e,1,false,Idemat 2025,,2025-07-29 14:50:59.783506,2025-07-29 14:50:59.783516,
3275,G-CuZn37Pb,"Material from Idemat 2025 dataset - ",68,G-CuZn37Pb,,,,b3843996-40a6-48b8-b445-bc7a1cff6495,1,false,Idemat 2025,,2025-07-29 14:51:00.374259,2025-07-29 14:51:00.374264,
3276,G-CuZn40,"Material from Idemat 2025 dataset - ",60,G-CuZn40,,,,12776fdc-aaa3-4c46-8d2f-d60cd0198da3,1,false,Idemat 2025,,2025-07-29 14:51:00.848311,2025-07-29 14:51:00.848326,
