id,material_id,value,value_min,value_max,test_standard,notes,source,is_verified,created_at,updated_at,property_id,property_category,unit,created_by
31273,3006,3.94,,,,,,false,2025-07-29 14:48:31.948435+00,2025-07-29 14:48:31.948447+00,76,,,
31274,3006,14.95,,,,,,false,2025-07-29 14:48:31.97627+00,2025-07-29 14:48:31.976278+00,74,,kg CO2e/kg,
31275,3006,229.1,,,,,,false,2025-07-29 14:48:32.003387+00,2025-07-29 14:48:32.003394+00,159,,,
31276,3006,0.27782843,,,,,,false,2025-07-29 14:48:32.033179+00,2025-07-29 14:48:32.03319+00,172,,,
31277,3006,0.25797698,,,,,,false,2025-07-29 14:48:32.061985+00,2025-07-29 14:48:32.061997+00,168,,,
31278,3006,0.011883802,,,,,,false,2025-07-29 14:48:32.090887+00,2025-07-29 14:48:32.090892+00,167,,,
31279,3006,0.0079676517,,,,,,false,2025-07-29 14:48:32.119605+00,2025-07-29 14:48:32.119609+00,170,,,
31280,3006,0.000015466246,,,,,,false,2025-07-29 14:48:32.147293+00,2025-07-29 14:48:32.147301+00,169,,,
31281,3006,0.000000043948973,,,,,,false,2025-07-29 14:48:32.173898+00,2025-07-29 14:48:32.173903+00,166,,,
31282,3006,1.1159176,,,,,,false,2025-07-29 14:48:32.207357+00,2025-07-29 14:48:32.207366+00,171,,,
31283,3006,0.00071176611,,,,,,false,2025-07-29 14:48:32.234992+00,2025-07-29 14:48:32.234998+00,165,,,
31284,3006,2.2430032,,,,,,false,2025-07-29 14:48:32.261252+00,2025-07-29 14:48:32.261263+00,160,,,
31285,3006,0.2248866562,,,,,,false,2025-07-29 14:48:32.289498+00,2025-07-29 14:48:32.289503+00,161,,,
31286,3006,0.1425120031,,,,,,false,2025-07-29 14:48:32.316537+00,2025-07-29 14:48:32.316549+00,162,,,
31287,3006,0.1432030488,,,,,,false,2025-07-29 14:48:32.343725+00,2025-07-29 14:48:32.343734+00,163,,,
31288,3006,1.47071051,,,,,,false,2025-07-29 14:48:32.373606+00,2025-07-29 14:48:32.373611+00,164,,,
31289,3007,4.02,,,,,,false,2025-07-29 14:48:32.429509+00,2025-07-29 14:48:32.429546+00,76,,,
31290,3007,17.27,,,,,,false,2025-07-29 14:48:32.456285+00,2025-07-29 14:48:32.456306+00,74,,kg CO2e/kg,
31291,3007,205.8,,,,,,false,2025-07-29 14:48:32.483621+00,2025-07-29 14:48:32.483632+00,159,,,
31292,3007,0.56667471,,,,,,false,2025-07-29 14:48:32.518474+00,2025-07-29 14:48:32.518486+00,172,,,
31293,3007,0.53388775,,,,,,false,2025-07-29 14:48:32.544834+00,2025-07-29 14:48:32.544841+00,168,,,
31294,3007,0.018171045,,,,,,false,2025-07-29 14:48:32.572921+00,2025-07-29 14:48:32.572926+00,167,,,
31295,3007,0.01461592,,,,,,false,2025-07-29 14:48:32.59994+00,2025-07-29 14:48:32.59995+00,170,,,
31296,3007,0.000032007659,,,,,,false,2025-07-29 14:48:32.631315+00,2025-07-29 14:48:32.631327+00,169,,,
31297,3007,0.000000067200612,,,,,,false,2025-07-29 14:48:32.668904+00,2025-07-29 14:48:32.66891+00,166,,,
31298,3007,2.0470476,,,,,,false,2025-07-29 14:48:32.696348+00,2025-07-29 14:48:32.696361+00,171,,,
31299,3007,0.0010805664,,,,,,false,2025-07-29 14:48:32.72932+00,2025-07-29 14:48:32.729331+00,165,,,
31300,3007,2.5904155,,,,,,false,2025-07-29 14:48:32.759692+00,2025-07-29 14:48:32.759703+00,160,,,
31301,3007,1.418378336,,,,,,false,2025-07-29 14:48:32.78962+00,2025-07-29 14:48:32.789626+00,161,,,
31302,3007,1.090532075,,,,,,false,2025-07-29 14:48:32.829175+00,2025-07-29 14:48:32.829187+00,162,,,
31303,3007,1.090563892,,,,,,false,2025-07-29 14:48:32.858729+00,2025-07-29 14:48:32.858737+00,163,,,
31304,3007,0.006861384,,,,,,false,2025-07-29 14:48:32.887449+00,2025-07-29 14:48:32.887456+00,164,,,
31305,3008,1.27,,,,,,false,2025-07-29 14:48:32.942802+00,2025-07-29 14:48:32.942815+00,76,,,
31306,3008,3.41,,,,,,false,2025-07-29 14:48:32.973761+00,2025-07-29 14:48:32.973768+00,74,,kg CO2e/kg,
31307,3008,37.0,,,,,,false,2025-07-29 14:48:33.001794+00,2025-07-29 14:48:33.0018+00,159,,,
31308,3008,0.061835763,,,,,,false,2025-07-29 14:48:33.033043+00,2025-07-29 14:48:33.033049+00,172,,,
31309,3008,0.056271872,,,,,,false,2025-07-29 14:48:33.060361+00,2025-07-29 14:48:33.060369+00,168,,,
31310,3008,0.0026639853,,,,,,false,2025-07-29 14:48:33.086362+00,2025-07-29 14:48:33.086366+00,167,,,
31311,3008,0.0028999051,,,,,,false,2025-07-29 14:48:33.112943+00,2025-07-29 14:48:33.112955+00,170,,,
31312,3008,0.0000033736134,,,,,,false,2025-07-29 14:48:33.143813+00,2025-07-29 14:48:33.143822+00,169,,,
31313,3008,0.0000000098520168,,,,,,false,2025-07-29 14:48:33.173305+00,2025-07-29 14:48:33.173309+00,166,,,
31314,3008,0.40614918,,,,,,false,2025-07-29 14:48:33.199944+00,2025-07-29 14:48:33.199955+00,171,,,
31315,3008,0.00014754176,,,,,,false,2025-07-29 14:48:33.226544+00,2025-07-29 14:48:33.226552+00,165,,,
31316,3008,0.51160742,,,,,,false,2025-07-29 14:48:33.254869+00,2025-07-29 14:48:33.254874+00,160,,,
31317,3008,0.04253348718,,,,,,false,2025-07-29 14:48:33.281711+00,2025-07-29 14:48:33.281723+00,161,,,
31318,3008,0.0250027238,,,,,,false,2025-07-29 14:48:33.308481+00,2025-07-29 14:48:33.308493+00,162,,,
31319,3008,0.02541735124,,,,,,false,2025-07-29 14:48:33.341118+00,2025-07-29 14:48:33.341127+00,163,,,
31320,3008,0.71890785,,,,,,false,2025-07-29 14:48:33.3678+00,2025-07-29 14:48:33.367805+00,164,,,
31321,3009,0.09,,,,,,false,2025-07-29 14:48:33.426049+00,2025-07-29 14:48:33.426057+00,76,,,
31322,3009,0.41,,,,,,false,2025-07-29 14:48:33.452793+00,2025-07-29 14:48:33.452798+00,74,,kg CO2e/kg,
31323,3009,7.1,,,,,,false,2025-07-29 14:48:33.479724+00,2025-07-29 14:48:33.479733+00,159,,,
31324,3009,0.0098487987,,,,,,false,2025-07-29 14:48:33.509079+00,2025-07-29 14:48:33.509088+00,172,,,
